id,target
0,31846
1,48
2,153629
3,2429
4,127
5,7925
6,13460
7,126987
8,114
9,32182
10,72235
11,30402
12,2600
13,4358
14,2021
15,509
16,13118
17,682
18,52
19,4630
20,1544
21,10728
22,3919
23,247
24,2252
25,519
26,44891
27,9235
28,1828
29,1094
30,1134
31,4559
32,735
33,742
34,2600
35,3765
36,43
37,55332
38,1224
39,67239
40,19497
41,39888
42,8289
43,31168
44,85241
45,2429
46,313
47,1947
48,29053
49,6777
50,40
51,2429
52,113153
53,67543
54,352
55,789
56,1371
57,25411
58,1525
59,571
60,2537
61,210
62,30093
63,3983
64,110
65,2080
66,266
67,450
68,711
69,20281
70,2429
71,36905
72,199
73,4022
74,27984
75,1079
76,3813
77,23923
78,6858
79,1867
80,6674
81,2027
82,391
83,858
84,3593
85,4739
86,419
87,327
88,11021
89,3042
90,1371
91,194
92,19985
93,2188
94,19985
95,9868
96,2429
97,3968
98,166
99,25389
100,47
101,52
102,56875
103,17868
104,13768
105,5694
106,3782
107,6858
108,8967
109,25433
110,3671
111,2101
112,25937
113,34812
114,33061
115,210
116,1922
117,2809
118,162
119,10751
120,7973
121,391
122,2545
123,27274
124,171209
125,12147
126,36108
127,5257
128,15682
129,79098
130,12705
131,25103
132,12555
133,9075
134,2161
135,8179
136,2087
137,67486
138,1186
139,96208
140,766
141,15682
142,45
143,2305
144,2429
145,6416
146,678
147,114247
148,8080
149,2429
150,86900
151,6976
152,1141
153,795
154,887
155,48
156,2037
157,539
158,19653
159,131775
160,1416
161,843
162,8704
163,210
164,3386
165,884
166,59
167,66
168,1521
169,5582
170,4022
171,44094
172,24110
173,2769
174,11565
175,1776
176,23
177,3550
178,1625
179,2600
180,33620
181,2493
182,10437
183,1549
184,9570
185,4188
186,2429
187,24685
188,4232
189,15682
190,13830
191,4340
192,25357
193,7931
194,221
195,157
196,1193
197,5116
198,932
199,323
200,574
201,1909
202,18111
203,189481
204,6105
205,6414
206,210
207,12508
208,6976
209,2429
210,286
211,783
212,25862
213,172510
214,2888
215,887
216,27434
217,1818
218,232
219,3427
220,210
